1,root,,,1667035002516,,9016,
2,Projects,,1,1667035087919,,1040,
3,"Face proportions",,2,1667035093857,1720599219330,23,
4,"Learn swift",,3,1667035103101,,324,
5,Package-management,,4,1667035109353,,8,
6,Syntax,,4,1667035118736,,14,
7,SwiftUI,,4,1667035127251,,7,
8,"State mgmt",,7,1667035134982,,4,
9,Routing,,7,1667035140424,,5,
10,3d-scenes,,7,1667035145575,,26,
11,"Standalone version",,3,1667035178138,,57,
12,"Take image",,11,1667035191917,,16,
14,"Detect landmarks",,11,1667035209873,,6,
15,"Include mobile landmark-detection in standalone program",,14,1667035217843,,22,
16,Tutorial,,3,1667035594811,,6,
17,"remote sensing","null
        Latest estimate: 2024-07-10T13:26:22.288Z 15:26:22
            buvs: 0 days 8 hours 24 minutes
            tdvs: 0 days 7 hours 13 minutes
            estimated percentage: 1%
      ",2,1720599229613,1720621914883,879,
18,"smaller image",,17,1720599237628,1720612370259,1418,
19,"nicer popup",,17,1720599255083,1720612045289,24,
20,"animated barchart",,19,1720599262825,1720605730069,1074,
21,tdl,,2,1720599316062,,904,
22,text,,17,1720599334709,1720621176463,771,
23,svg,,17,1720599338590,1720603893771,10,
24,"hero animation/image",,17,1720599344776,1720604515749,12,
25,"Weird: works better on desktop and in firefox","It seems to be the residential area on the right, under the house with the big blue pool (or maybe a blue tennis court) that the model consistently missclassifies as crop.",17,1720600553958,1720604511327,74,
26,"laptop + firefox","not much better in firefox, it seems",25,1720600568508,1720604445272,452,
27,"compare loaded models?",,25,1720600581585,,3310,
28,"new animation for sources-page","null
        Latest estimate: 2024-07-10T13:43:05.921Z 15:43:05
            buvs: 0 days 0 hours 15 minutes
            tdvs: 0 days 0 hours 56 minutes
            estimated percentage: 2%
      ",2,1720604527192,1720619577124,1605,
29,"show/hide completed button",,21,1720604653437,,31,
30,"hover text and highlight",,19,1720605732417,1720612035689,1213,
31,"close window button","",17,1720612100743,1720617540855,2995,
32,"nicer load icon",,17,1720614376601,1720616406801,629,
33,"shift popup if far right",,17,1720614383130,1720615692385,7,
34,deploy,,17,1720621180404,1720621911551,720,
35,build,,34,1720621185633,,4,
36,upload,,34,1720621190820,,6,
